,size,probability_obstacle,distance_fn,heuristic_fn,search_algo,approx_shortest_distance,paths_length,cost,nodes_visited
0,10,0.1,euclidian_distance,euclidian_distance,Astar,4.0,5,4.0,16
1,10,0.1,euclidian_distance,euclidian_distance,BFS,4.0,5,4.0,29
2,10,0.1,euclidian_distance,euclidian_distance,Weighted_Astar,4.0,5,4.0,16
3,10,0.1,euclidian_distance,euclidian_distance,Beam_Search,4.0,5,4.0,16
4,10,0.2,euclidian_distance,euclidian_distance,Astar,4.0,5,4.0,14
5,10,0.2,euclidian_distance,euclidian_distance,BFS,4.0,5,4.0,24
6,10,0.2,euclidian_distance,euclidian_distance,Weighted_Astar,4.0,5,4.0,14
7,10,0.2,euclidian_distance,euclidian_distance,Beam_Search,4.0,5,4.0,14
8,10,0.4,euclidian_distance,euclidian_distance,Astar,4.0,5,4.82842712474619,11
9,10,0.4,euclidian_distance,euclidian_distance,BFS,4.0,5,4.82842712474619,12
10,10,0.4,euclidian_distance,euclidian_distance,Weighted_Astar,4.0,5,4.82842712474619,10
11,10,0.4,euclidian_distance,euclidian_distance,Beam_Search,4.0,5,4.82842712474619,11
12,20,0.1,euclidian_distance,euclidian_distance,Astar,7.810249675906654,7,8.071067811865476,31
13,20,0.1,euclidian_distance,euclidian_distance,BFS,7.810249675906654,7,8.071067811865476,58
14,20,0.1,euclidian_distance,euclidian_distance,Weighted_Astar,7.810249675906654,7,8.071067811865476,32
15,20,0.1,euclidian_distance,euclidian_distance,Beam_Search,7.810249675906654,7,8.071067811865476,32
16,20,0.2,euclidian_distance,euclidian_distance,Astar,7.810249675906654,7,8.071067811865476,27
17,20,0.2,euclidian_distance,euclidian_distance,BFS,7.810249675906654,7,8.071067811865476,50
18,20,0.2,euclidian_distance,euclidian_distance,Weighted_Astar,7.810249675906654,7,8.071067811865476,28
19,20,0.2,euclidian_distance,euclidian_distance,Beam_Search,7.810249675906654,7,8.071067811865476,28
20,20,0.4,euclidian_distance,euclidian_distance,Astar,7.810249675906654,7,8.071067811865476,21
21,20,0.4,euclidian_distance,euclidian_distance,BFS,7.810249675906654,7,8.071067811865476,39
22,20,0.4,euclidian_distance,euclidian_distance,Weighted_Astar,7.810249675906654,7,8.071067811865476,21
23,20,0.4,euclidian_distance,euclidian_distance,Beam_Search,7.810249675906654,7,8.071067811865476,21
24,50,0.1,euclidian_distance,euclidian_distance,Astar,36.235341863986875,33,39.04163056034261,350
25,50,0.1,euclidian_distance,euclidian_distance,BFS,36.235341863986875,33,42.35533905932737,834
26,50,0.1,euclidian_distance,euclidian_distance,Weighted_Astar,36.235341863986875,33,39.8700576850888,124
27,50,0.1,euclidian_distance,euclidian_distance,Beam_Search,36.235341863986875,33,39.04163056034261,161
28,50,0.2,euclidian_distance,euclidian_distance,Astar,36.235341863986875,33,39.04163056034261,309
29,50,0.2,euclidian_distance,euclidian_distance,BFS,36.235341863986875,33,40.698484809834994,695
30,50,0.2,euclidian_distance,euclidian_distance,Weighted_Astar,36.235341863986875,33,40.698484809834994,109
31,50,0.2,euclidian_distance,euclidian_distance,Beam_Search,36.235341863986875,33,39.04163056034261,149
32,50,0.4,euclidian_distance,euclidian_distance,Astar,36.235341863986875,33,39.8700576850888,231
33,50,0.4,euclidian_distance,euclidian_distance,BFS,36.235341863986875,33,41.52691193458118,448
34,50,0.4,euclidian_distance,euclidian_distance,Weighted_Astar,36.235341863986875,35,41.870057685088796,92
35,50,0.4,euclidian_distance,euclidian_distance,Beam_Search,36.235341863986875,38,42.79898987322332,126
